mes_dia,media_notificacoes_dia,notificacoes_dia,regiao,r2,mae,mape,msd,mse,rmse,ano_inicio,ano_fim,ano,chave,limiar_pre_epidemico,intensidade_alta,intensidade_muito_alta
5-14,87,322,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-15,88,306,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-16,90,312,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-17,87,333,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-18,86,312,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-19,87,359,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-20,92,302,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-21,92,288,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-22,91,315,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-23,89,299,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-24,89,314,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-25,92,279,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
