"mes_dia","media_notificacoes_dia","data","real","predito","regiao","r2","mae","mape","msd","mse","rmse","ano_inicio","ano_fim","chave"
"4-13",60,"2020-04-16",372,233,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-14",62,"2020-04-17",359,262,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-15",59,"2020-04-18",363,222,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-16",59,"2020-04-19",366,224,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-17",62,"2020-04-20",395,232,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-18",64,"2020-04-21",387,208,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-19",68,"2020-04-22",387,264,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-20",75,"2020-04-23",391,312,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-21",77,"2020-04-24",393,261,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-22",79,"2020-04-25",407,268,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-23",82,"2020-04-26",406,296,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-24",81,"2020-04-27",384,295,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-25",85,"2020-04-28",392,317,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
